,va
0,456
1,3822
2,4679
3,5043
4,5525
5,6331
6,6444
7,6588
8,7168
9,7601
10,7760
11,8344
12,592
13,2960
14,5148
15,7269
16,3186
17,4583
18,5195
19,5365
20,5797
21,5904
22,6003
23,6221
24,287
25,419
26,493
27,1658
28,3055
29,3329
30,4012
31,4242
32,4293
33,5366
34,5444
35,5503
36,7547
37,7774
38,8094
39,8634
40,8921
41,8980
42,9739
43,868
44,1162
45,3050
46,3768
47,6280
48,9615
49,9658
50,9929
51,629
52,1146
53,1403
54,1756
55,4325
56,6329
57,7025
58,8055
59,9037
60,1472
61,1988
62,2193
63,3964
64,4117
65,4145
66,4410
67,4496
68,5652
69,8035
70,8330
71,8485
72,565
73,673
74,947
75,1578
76,3227
77,3663
78,3801
79,4453
80,5699
81,6298
82,6895
83,9688
84,405
85,601
86,903
87,3624
88,3755
89,4558
90,7542
91,8362
92,63
93,553
94,604
95,1233
96,3545
97,5558
98,5797
99,5909
100,6264
101,7459
102,8616
103,8637
104,8779
105,9517
106,48
107,325
108,1058
109,1113
110,1386
111,1876
112,2065
113,2275
114,2680
115,4597
116,6105
117,1131
118,3467
119,4299
120,6005
121,1318
122,7371
123,9808
124,9823
125,9839
126,423
127,1710
128,1783
129,1816
130,2209
131,2877
132,3651
133,4970
134,5934
135,7315
136,7655
137,7912
138,8385
139,8405
140,231
141,1128
142,1147
143,1284
144,1464
145,1783
146,1909
147,1952
148,5851
149,6014
150,6018
151,6031
152,6741
153,7274
154,8097
155,8381
156,9157
157,9360
158,1216
159,1300
160,3651
161,4053
162,5721
163,6145
164,7619
165,14
166,1126
167,2095
168,5579
169,6863
170,7890
171,7927
172,9213
173,338
174,507
175,1622
176,2445
177,2781
178,3583
179,3947
180,4072
181,4476
182,5387
183,5829
184,6700
185,123
186,512
187,4683
188,7605
189,8475
190,9576
191,9688
192,3263
193,4496
194,4552
195,6948
196,7348
197,9364
198,206
199,2608
200,7878
201,9742
202,53
203,1651
204,2527
205,3626
206,4211
207,6449
208,7310
209,7397
210,9429
211,9673
212,289
213,1253
214,4012
215,4899
216,5753
217,7295
218,8020
219,8719
220,9034
221,9126
222,9853
223,101
224,1487
225,1933
226,2732
227,2852
228,4117
229,4398
230,4704
231,4741
232,5016
233,6863
234,8096
235,8295
236,8379
237,1541
238,2786
239,3306
240,4383
241,4551
242,4886
243,5815
244,7472
245,7869
246,8265
247,8289
248,9245
249,161
250,3309
251,4083
252,5366
253,5768
254,5968
255,6275
256,8719
257,387
258,470
259,3080
260,3455
261,4364
262,4988
263,5259
264,5819
265,6149
266,6264
267,6350
268,6507
269,7739
270,8514
271,1039
272,2489
273,5619
274,6491
275,8146
276,397
277,570
278,1380
279,1949
280,3403
281,4107
282,4228
283,5281
284,5328
285,5602
286,6562
287,8491
288,9329
289,1881
290,2883
291,6209
292,85
293,558
294,710
295,748
296,1606
297,2509
298,3453
299,6176
300,8298
301,9470
302,360
303,1972
304,2774
305,3010
306,3927
307,4243
308,4347
309,5633
310,6013
311,6079
312,8706
313,9786
314,173
315,2246
316,2610
317,4999
318,7137
319,7202
320,7916
321,78
322,416
323,1092
324,1113
325,2517
326,2979
327,3233
328,4373
329,8227
330,8784
331,3160
332,6309
333,553
334,1373
335,2506
336,2760
337,2819
338,8754
339,9502
340,2256
341,4446
342,4545
343,5582
344,5778
345,6156
346,7732
347,8135
348,8248
349,8843
350,9833
351,1239
352,1909
353,2507
354,2640
355,2739
356,5128
357,5916
358,6100
359,6621
360,7135
361,7934
362,8922
363,9288
364,9429
365,9615
366,622
367,1233
368,3713
369,4374
370,4988
371,5142
372,5906
373,9861
374,2065
375,2638
376,4058
377,7549
378,1582
379,4734
380,6484
381,8072
382,8302
383,9529
384,1578
385,2541
386,2733
387,3056
388,3478
389,3828
390,7297
391,1313
392,2979
393,3402
394,5129
395,5928
396,6457
397,6588
398,8135
399,8604
400,9806
401,2193
402,3025
403,3614
404,7228
405,7328
406,7636
407,764
408,3307
409,5246
410,5256
411,5626
412,5999
413,6332
414,8122
415,8907
416,9915
417,1334
418,1990
419,2610
420,4496
421,4552
422,5238
423,5578
424,6948
425,7181
426,7223
427,8319
428,8464
429,9348
430,9364
431,9766
432,9918
433,2125
434,2142
435,2418
436,3182
437,3186
438,4284
439,4603
440,4927
441,5185
442,6365
443,6369
444,6814
445,7144
446,7376
447,144
448,359
449,3221
450,3796
451,4533
452,6673
453,7645
454,7755
455,8205
456,8221
457,8278
458,8596
459,9240
460,9775
461,1907
462,2531
463,3190
464,3453
465,5089
466,6505
467,7021
468,7237
469,9229
470,1896
471,1909
472,3537
473,3860
474,4210
475,4848
476,5598
477,6871
478,7640
479,8399
480,601
481,903
482,2471
483,3496
484,3498
485,3624
486,3755
487,4558
488,8735
489,8940
490,756
491,1666
492,2347
493,3136
494,3227
495,3620
496,4071
497,4446
498,4945
499,4947
500,6668
501,7604
502,8225
503,8844
504,9048
505,9348
506,9502
507,9574
508,3531
509,5405
510,6550
511,1321
512,2920
513,3062
514,6314
515,6325
516,7323
517,9384
518,497
519,4750
520,5381
521,6762
522,7955
523,197
524,629
525,718
526,961
527,1239
528,1905
529,2190
530,2373
531,3637
532,4005
533,5075
534,5209
535,5891
536,6237
537,6430
538,7352
539,7563
540,8060
541,8180
542,8328
543,8516
544,9595
545,1323
546,2285
547,3297
548,4827
549,6140
550,7044
551,8447
552,721
553,1269
554,3025
555,3730
556,4243
557,5598
558,5806
559,6260
560,6863
561,7702
562,8438
563,8711
564,9911
565,1474
566,3070
567,4928
568,5186
569,6394
570,7073
571,9251
572,9364
573,9464
574,61
575,3589
576,4104
577,4349
578,6326
579,6871
580,7648
581,9687
582,272
583,818
584,1144
585,1576
586,2163
587,2434
588,3117
589,4876
590,5023
591,5694
592,5800
593,7141
594,7904
595,9455
596,9784
597,189
598,242
599,834
600,1713
